protein target,smiles count
P18545_PDE6G,2
Q9HC97_GPR35,2
Q9NY91_SLC5A4,2
P04035_HMGCR,2
Q15910_EZH2,2
Q9UQM7_CAMK2A,2
P49356_FNTB,2
P22455_FGFR4,2
P35498_SCN1A,2
P31751_AKT2,2
P35520_CBS,2
P15144_ANPEP,2
P29992_GNA11,2
P56524_HDAC4,2
P18505_GABRB1,2
Q14498_RBM39,2
Q9Y698_CACNG2,2
P14679_TYR,2
Q9UBS5_GABBR1,2
Q9HCR9_PDE11A,2
P16455_MGMT,2
P20618_PSMB1,2
P19113_HDC,2
O00421_CCR6,2
P08246_ELANE,2
P40763_STAT3,2
Q07343_PDE4B,2
P50579_METAP2,2
Q8IW41_MAPKAPK5,2
P06241_FYN,2
Q05655_PRKCD,2
P02766_TTR,2
Q9P1Z3_HCN3,2
O15054_KDM6B,2
P34972_CNR2,2
P05187_ALPP,2
P43166_CA7,2
Q13733_ATP1A4,2
Q9UN88_GABRQ,2
P55087_AQP4,2
Q08752_PPID,2
P22460_KCNA5,2
Q16853_AOC3,2
P21333_FLNA,2
P03952_KLKB1,2
Q96S37_SLC22A12,2
P43003_SLC1A3,2
P51582_P2RY4,2
P48048_KCNJ1,2
P39900_MMP12,2
P14415_ATP1B2,2
Q13546_RIPK1,2
P49354_FNTA,2
Q15139_PRKD1,2
Q07812_BAX,2
P07992_ERCC1,2
Q06609_RAD51,2
Q86U86_PBRM1,2
P42356_PI4KA,2
O00222_GRM8,2
P18084_ITGB5,2
P49682_CXCR3,2
Q13822_ENPP2,2
P46934_NEDD4,2
P14061_HSD17B1,2
P00441_SOD1,2
P62508_ESRRG,2
P28331_NDUFS1,2
P52732_KIF11,2
O75116_ROCK2,2
P00746_CFD,2
P50225_SULT1A1,2
O95363_FARS2,2
P49759_CLK1,2
Q16620_NTRK2,2
Q04637_EIF4G1,2
Q2M2I8_AAK1,2
Q9H2X9_SLC12A5,2
P17706_PTPN2,2
P13500_CCL2,2
P50052_AGTR2,2
O00590_CCR10,2
Q01959_SLC6A3,2
O43526_KCNQ2,2
P38571_LIPA,2
P54709_ATP1B3,2
P19447_ERCC3,2
P04839_CYBB,2
P03886_MT-ND1,2
P09923_ALPI,2
P11509_CYP2A6,2
P16083_NQO2,2
P31639_SLC5A2,2
Q13956_PDE6H,2
Q8TD43_TRPM4,2
Q9BZJ3_TPSD1,2
P55017_SLC12A3,2
P41222_PTGDS,2
P55211_CASP9,2
O43924_PDE6D,2
O15399_GRIN2D,2
Q7Z2W7_TRPM8,2
Q9UGI6_KCNN3,2
P15884_TCF4,2
P43354_NR4A2,2
P33527_ABCC1,2
O00591_GABRP,2
P48764_SLC9A3,2
Q66K64_DCAF15,2
P48443_RXRG,2
Q96P20_NLRP3,2
Q9UGI9_PRKAG3,2
Q13163_MAP2K5,2
Q9UBY0_SLC9A2,2
P23284_PPIB,2
O43570_CA12,2
P31350_RRM2,2
P05107_ITGB2,2
Q13164_MAPK7,2
Q9BRQ5_ORAI3,2
O94788_ALDH1A2,2
P25105_PTAFR,2
Q92630_DYRK2,2
Q8TDU6_GPBAR1,2
P27708_CAD,2
Q92830_KAT2A,2
O75676_RPS6KA4,2
P09038_FGF2,2
P43119_PTGIR,2
P32248_CCR7,2
Q02790_FKBP4,2
P49721_PSMB2,2
P43220_GLP1R,2
P45985_MAP2K4,2
P67870_CSNK2B,2
P63000_RAC1,2
Q92633_LPAR1,2
O15550_KDM6A,2
P10635_CYP2D6,2
P32238_CCKAR,2
O15392_BIRC5,2
Q02224_CENPE,2
Q9H5I1_SUV39H2,2
P05186_ALPL,2
Q16790_CA9,2
P25116_F2R,2
P14635_CCNB1,2
O15169_AXIN1,2
P51685_CCR8,2
O60359_CACNG3,2
O60341_KDM1A,2
P14902_IDO1,2
P47898_HTR5A,2
Q9UBF8_PI4KB,2
Q9NRA0_SPHK2,2
Q07075_ENPEP,2
P19835_CEL,2
Q9Y5Y6_ST14,2
Q08881_ITK,2
P28838_LAP3,2
Q99788_CMKLR1,2
P03956_MMP1,2
P56373_P2RX3,2
P54098_POLG,2
P08183_ABCB1,2
P53396_ACLY,2
P04406_GAPDH,2
Q5BJF2_TMEM97,2
O14764_GABRD,2
O60603_TLR2,2
Q16206_ENOX2,2
P68104_EEF1A1,2
P27987_ITPKB,2
Q9NPC2_KCNK9,2
Q13627_DYRK1A,2
P19971_TYMP,2
P35398_RORA,2
P53609_PGGT1B,2
P45984_MAPK9,2
P54750_PDE1A,2
P06401_PGR,2
P00352_ALDH1A1,2
P27815_PDE4A,2
Q92889_ERCC4,2
P27361_MAPK3,2
P31152_MAPK4,1
P28482_MAPK1,1
Q9H4B4_PLK3,1
Q7L0J3_SV2A,1
P05121_SERPINE1,1
Q9H7B4_SMYD3,1
Q92952_KCNN1,1
Q93084_ATP2A3,1
O14684_PTGES,1
Q99808_SLC29A1,1
Q96PD7_DGAT2,1
P56159_GFRA1,1
P31327_CPS1,1
Q99571_P2RX4,1
O15528_CYP27B1,1
Q86TI2_DPP9,1
P23368_ME2,1
P54753_EPHB3,1
Q9UI32_GLS,1
P50570_DNM2,1
Q16526_CRY1,1
P40879_SLC26A3,1
P14324_FDPS,1
Q8TCT9_HM13,1
P24046_GABRR1,1
Q96IV0_NGLY1,1
P45378_TNNT3,1
P26006_ITGA3,1
P48039_MTNR1A,1
P05981_HPN,1
Q9HCF6_TRPM3,1
P49585_PCYT1A,1
O94759_TRPM2,1
O14976_GAK,1
Q15761_NPY5R,1
P27169_PON1,1
P30559_OXTR,1
P21675_TAF1,1
P10747_CD28,1
P01024_C3,1
P34981_TRHR,1
Q99523_SORT1,1
P32320_CDA,1
P16473_TSHR,1
P46734_MAP2K3,1
Q9UBR2_CTSZ,1
P48547_KCNC1,1
Q92793_CREBBP,1
P38936_CDKN1A,1
P14410_SI,1
P22894_MMP8,1
Q01538_MTF1,1
O15382_BCAT2,1
P28340_POLD1,1
P01138_NGF,1
Q9GZV3_SLC5A7,1
P07998_RNASE1,1
O43613_HCRTR1,1
Q9ULD8_KCNH3,1
Q9UNA4_POLI,1
Q9NZ20_PLA2G3,1
P07384_CAPN1,1
Q9Y259_CKB,1
P29317_EPHA2,1
Q8NCG7_DAGLB,1
P11712_CYP2C9,1
Q96Q83_ALKBH3,1
Q8TET4_GANC,1
P53350_PLK1,1
P31939_ATIC,1
Q8NFU7_TET1,1
P39086_GRIK1,1
P06702_S100A9,1
P84098_RPL19,1
P61313_RPL15,1
P09601_HMOX1,1
Q01344_IL5RA,1
P37173_TGFBR2,1
P10619_CTSA,1
Q16769_QPCT,1
Q5NUL3_FFAR4,1
Q16288_NTRK3,1
O95153_TSPOAP1,1
P36956_SREBF1,1
O75417_POLQ,1
O00482_NR5A2,1
P49821_NDUFV1,1
Q7RTX1_TAS1R1,1
O75531_BANF1,1
Q9ULI0_ATAD2B,1
O15540_FABP7,1
Q96RP8_KCNA7,1
P60953_CDC42,1
Q9NR82_KCNQ5,1
P32245_MC4R,1
P49915_GMPS,1
P01730_CD4,1
P60484_PTEN,1
P62750_RPL23A,1
Q9NP56_PDE7B,1
Q9HAU4_SMURF2,1
A8K2H7_C3AR1,1
O15438_ABCC3,1
Q92753_RORB,1
P16233_PNLIP,1
Q9NXA8_SIRT5,1
P48065_SLC6A12,1
Q16875_PFKFB3,1
Q8WXE1_ATRIP,1
P00750_PLAT,1
P25024_CXCR1,1
Q92696_RABGGTA,1
Q96PH1_NOX5,1
P23141_CES1,1
Q07864_POLE,1
O75365_PTP4A3,1
Q9NYL2_MAP3K20,1
P22735_TGM1,1
Q16873_LTC4S,1
O94953_KDM4B,1
O14867_BACH1,1
P08631_HCK,1
Q9NZV8_KCND2,1
Q9ULX7_CA14,1
P48067_SLC6A9,1
P07333_CSF1R,1
P05230_FGF1,1
P53778_MAPK12,1
Q02083_NAAA,1
P30419_NMT1,1
P05091_ALDH2,1
Q9UPC5_GPR34,1
P05231_IL6,1
Q96GD4_AURKB,1
Q92743_HTRA1,1
P56696_KCNQ4,1
P10515_DLAT,1
P00338_LDHA,1
P29144_TPP2,1
Q9BZL6_PRKD2,1
P01375_TNF,1
Q13724_MOGS,1
P28702_RXRB,1
Q16832_TKT,1
P41743_PRKCI,1
O43463_SUV39H1,1
O95931_CBX7,1
P56282_POLE2,1
O15269_SPTLC1,1
P06732_CKM,1
P28476_GABRR2,1
Q13018_PLA2R1,1
O75582_RPS6KA5,1
P30086_PEBP1,1
P25092_GUCY2C,1
P54687_BCAT1,1
P32249_GPR183,1
P07477_PRSS1,1
P51580_TPMT,1
P05177_CYP1A2,1
Q15054_POLD3,1
Q02878_RPL6,1
Q13427_CASP10,1
P47211_GALR1,1
P07339_CTSD,1
P80365_HSD11B2,1
P54578_USP14,1
Q8TAV3_CYP2W1,1
Q9HC35_EML4,1
P19022_CDH2,1
P62263_RPS14,1
Q8IV61_RASGRP3,1
P00751_CFB,1
P43005_SLC1A1,1
Q9UGN5_PARP2,1
O15270_SPTLC2,1
Q96EB6_SIRT1,1
Q9Y5Y4_PTGDR2,1
P16581_SELE,1
P50897_PPT1,1
Q8WYB5_KAT6B,1
Q16659_MAPK6,1
P35579_MYH9,1
P55011_SLC12A2,1
Q9UBX1_CTSF,1
P26639_TARS1,1
P12643_BMP2,1
P13497_BMP1,1
Q9Y5K2_KLK4,1
Q13002_GRIK2,1
Q9Y2K7_KDM2A,1
Q16602_CALCRL,1
P32241_VIPR1,1
Q9BXM7_PINK1,1
P42226_STAT6,1
Q9Y256_RCE1,1
Q9UIQ6_LNPEP,1
Q9GZU1_MCOLN1,1
P13631_RARG,1
P35713_SOX18,1
P30518_AVPR2,1
Q9HCU8_POLD4,1
P30530_AXL,1
P12104_FABP2,1
P10636_MAPT,1
Q9Y345_SLC6A5,1
P53634_CTSC,1
P17948_FLT1,1
O60259_KLK8,1
Q9GZT9_EGLN1,1
P15085_CPA1,1
Q5R387_PLA2G2C,1
P61927_RPL37,1
Q9Y4K0_LOXL2,1
P61081_UBE2M,1
Q9Y3S1_WNK2,1
P78508_KCNJ10,1
P23109_AMPD1,1
P46089_GPR3,1
P49773_HINT1,1
P51790_CLCN3,1
P12319_FCER1A,1
Q8TDS5_OXER1,1
P41231_P2RY2,1
P52209_PGD,1
P52630_STAT2,1
P51575_P2RX1,1
Q8IYL9_GPR65,1
P35414_APLNR,1
